gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
porcupine,cuandu 1 (porco-espinho) (fam. dos bufonídeos),kako: ʃ,kaku: ʃ,kako:s ɨb,,,NF,,NF,
wedge-capped capuchin monkey (Cebus olivaceus ),Macaco-caiarara,ʃãmɨ̃:j̃,ʃãmã:j̃,samɨ̃ɨ̃j,mɔ̃̂j,mɔ̃̂:j̃,,,,mɔ̃̂:j̃
squirrel monkey (Saimiri sciureus),Macaco-de-cheiro,,,,biɟ,biɟ,,bʼɨ̰ʲɟɲ,,
night monkey (Aotus vociferans),Macaco-da-noite,kɨ̃jkɨ̃:j,kujiʔ,,xuj’,xujʔ,kukúy,kukuj,kukuy,kukǔ:j
bat (Desmodus rotundus),Morcego 1,,,,bɨx,bɨx,,cɨbʼɨ̃h,,
jaguar (Panthera onca),Onça,,,,j’amxɨʔ,j̰̃ãmxɨʔ,yaʼám,j̃ãʔãm,yãam,j̃ãʔã̌:m
giant anteater (Myrmecophaga tridactyla),Tamandua 2,mɨgŋ,mbɨ̌:gŋ,,mbɨg apelido do tamandua,mbɨ̌:gŋ,,,,
skin,Couro ou pele,bɨ:h,bɨ:h,bɨ:h,bɨk,bɨk,,,,
egg,Ovo,ʔetɨ:p tɨb,tɨb,tɨb,tɨ̌p,tɨ̌:b,tip,tǐ:p,típ,tî:p
yellow,Amarelo,ʃawʌ̰:k,ʔawa̰:kŋ,,mɨ̃̂,,,,,
blue; green,Azul; verde,jabaɾǔ: t ,maɾu: t ,,mɨ̃̂,,,,,
shrimp,Camarão,ʃә:ʔ,ʃɨ:ʔ,,ʃoʔ,ʃoʔ,sәʔ,cәʔ,sәsә’,cәcәʔ
lower,Abaixar,hɨgŋ hɨ:h,hɨgŋ,,xɨ̂,xɨ̂:,hí,hî:,hi,hi
help,Ajudar 1,,,,judal’,,hitám mbɨ́ʔ,tã̂:m,mbɨʼbamʔ,tãm
drown,Alagar; inundar,   k ʼ ɨ̰:p k ʼ ɨ̰:b,k ʼ ɨ̰:b,,kɨ̂bm,k ʼ ɨ̃̂:m,k’ɨ́m,k ʼ ɨ̃̂:m,NC yɨ̃wʔ,
smooth,Alisar,hawә:k,hawʌg,,,,NC wádn wɨ́m,hәk,NC yãh wɨ̃m,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
warm up,Aquecer,,,,hɛ̃d jǔʔ,k ʼ ɨ̰ʔ,NF,k ʼ ɨ̰̂ʔ,kɨʔ,k ʼ ɨ̰ʔ
scratch,Arranhar,kuʃ kuɟ,,,xôj,xô:ɟ,kój,koʲɟɲ,hɨ kĩit,
pull; drag,Arrastar,takɨg takɨg,takɨg,,xə̌k,xә̌:k,NC ndóy,,kәk hɨ̃k,kәgŋ
drink,Beber,ʔә:k ʔә:gŋ,ʔɨgŋ,e?:k,ʔəg,ʔәg,әgŋ,ʔәgŋ,әg,ʔәgŋ
sing,Cantar,jʌ:bm jʌbm,jʌ:bm,ejʌbm,jãmhɨ̃h,jãm,yam,jãm,yãm,jãm
meet; encounter,Chegar; encontrar,wɨt,wɨt,,wɨ̂d,wɨd,wɨdn,wɨdn,wɨt,wɨt
fill up,Cheirar,hɨ̃:k hʌ̃g,hã:kŋ,macehɨ̃ɨ̃k,ʔɨ̃̌k,ʔɨ̃̌:k ,NF,,NF,
itch,Coçar 2,ʃɨ̰:t ʃɨ:d, ,,ʃîd,ʃĩnʔ,?,w̰obm,?,wobm
eat,Comer 1,wә:h,wɨ:h,awәh,,,,,,
cut (saw),Cortar 2,k ʼ ahɔ̃k k ʼ ahɔ̃g ʔahɔ̃kk ʼ akɨd,hɔ̃:kŋ hɔ̃g,gehõk,hɔ̃k saw,hɔ̃̌:k,hᴐ̃́k,hɔ̃̌:k,hᴐ̃k,hɔ̃k
sew,Costurar,ʃu:h ʃugŋ,ʃu:h ʃugŋ,,tɨ̃̌m’,,suh,cuh,suh,cuh
cook,Cozinhar,,,,xâ,,taʼasáw,c ʼ ɨ̂:w,sᴐ̃hᴐ́m,c ʼ ɨw
spill,Derramar,bɨ:h bɨh,bɨ:h bɨh,,bə̂ bəh,bәh bә̂:,mbʼәh,bʼә̰h,mbәәh,bʼә̰h
peel,Descascar,,,,ʃĩm’ wet manioc banana etc.,ʃĩ̌:mʔ,,cɨ̃̌:mʔ,sĩim’,cĩmʔ
sleep,Dormir,ʔɨ̴:h ʔãh,ʔã:h,,ʔã̂,ʔã̂:,,ʔɔ̃h,ᴐ̃h,ʔɔ̃h
push,Empurrar,,,,tuj,tû:j,,tɨ̂:j tû:,tɨy,tɨj
meet,Encontrar,wɨ̰:t wɨ:d,wɨ:d,,wəj’ wɨ̂d chegaɾ,wɨ̂:d,,,,
thread on a string,Enfiar,ʃɨ:h ʃɨh,ʃɨ:h,,ʃɨg,ʃɨg,,cĩŋʔ,,
write,Escrever,hɨ:ʔ hɨʔ,,,dâd,,hɨ̀ʔ,hɨʔ,hɨ’,hɨʔ
scour,Esfregar 1,wu:k wug,,,wug,wug,,hĩ:kɨ̃k,hɨ̃k,hɨ̃k
tickle,Fazer cocegas,ʃɨ̰:t ʃɨ:d,,,ʃîd,ʃî:d,sisídn,cicî:dn,sisidn,cicidn
flatulate,Flatulencia,du:ʃ duʃ,c ʼ ɨʃ,,tɔʃ,tɔʃ,tᴐ́ç,tɔç,,tɔ̂:jʰ
wash,Lavar,c ʼ ɨ̰:t c ʼ ɨ̰:d,c ʼ ɨ̰:d,,cid,c ʼ id,,c ʼ idn ,siidn,c ʼ idn
sharpen?,Lavrar,ʃәk ʃәg,ʃәg,asәk,ʃək,ʃәk,sʼɨgŋ,cәgn,sәk,cәk 
tell lie,Mentir,,,,tɨ̌x,tɨ̌:x,tɨh,tɨh,,
pull,Puxar,hә:k hәg,kɨg,,xə̌k,xәk,kәk,kәk,kәk,kәk
grate,Ralar,hʌ̃p hʌ̃b,hãb,ehә̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p
fear,Temer,ʔɨ̃:m ʔʌ̃m,ʔɨ̃:m,eɨ̃ɨ̃m,ʔã̂m,ʔã̂:m,ᴐ́m,ʔɔ̃m,ᴐ̃m,ʔɔ̃m
be greasy; fat,Ter Gordura,ʃɨdn,ʃɨdn,,,,,,,
people,Gente 1,nãdәb,nɨdәb,nadәb,dəw,dәw,,,,
mythical hero,Heroi mitico,,,,kɨ̃̌ɲ,k ʼ ɨ̃̂:ɲ̰,,k ʼ ɨ̃̂:ɲ̰,,k ʼ ɨ̃̂:ɲ̰
adolescent girl,Moça 1,,,,ʃâw,ʔãjãʃǎ:w,,tãʔãʃǎ:w,,tɨ̃hĩhcǎ:w
woman,Mulher,ʔɨ̃:ɲ ʔɨ̃:j̃,ʔɨ̃:ɲ,,ʔã̂j,ʔã̂:j̃,,ʔãj̃,,ʔã̂:j̃
left hand,Mao esquerda,ʃɨ̰̃:ʔ,ʃã̰:h,sʼɨ̃ɨ̃,ʃôb ʃã̌h,ʃã̌h,sᴐ̃̀h,cɔ̌̃h,,cẫh
bone,Osso 2,kɨ̰:ʔ,kә̰:h,kʼ?:,,,kʼɛ̀g?,,kә́’,kә̂:ʔ
eyebrow,Sobrancelha 1,k ʼ ә:dn,k ʼ ɨ:dn,,tɨm bɔk cɛ̃̂n,,,,,
wasp sp.,Caba 1 (sp.),ʔatɨ:d,ʔatɨ:d,atә:d,,,,,,
