gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
green acouchi,cutiuaia 1 (Myoprocta pratti),,,,kaɟ,k ʼ aɟ,,k ʼ aʲɟɲ,,k ʼ aʲɟɲ
Eastern lowland olingo (Bassaricyon alleni),Jupará,wac ʼ ɔ̃g,wɔ̃hc ʼ ɔ̃g,,cɔ̃k,c ʼ ɔ̰̃k,wᴐ̃hsᴐ̃́k,wɔ̃hcɔ̰̃k,,
otter (Pteronura brasiliensis),Lontra,ʔajo̰:g,ʔajɔ̰:g,ajʼo:g,j’ɔ̌k,ʔjɔ̌:k,,dʲɔkpǒ:gŋ,yᴐk,jɔ̂:k
collared titi monkey (Callicebus torquatus),Macaco zogue-zogue,k ʼ ṵ:k,k ʼ o̰:kŋ,,kôg,k ʼ ô̰:g,kʼògŋ,k ʼ ô̰:gŋ,koóg,k ʼ ô̰gŋ
giant armadillo (Priodontes maximus),Tatu canastra,,,,ʔɔ̃̌k,ʔõ̌:k,,ʔǒ:k,,
skin,Couro ou pele,bɨ:h,bɨ:h,bɨ:h,bɨk,bɨk,,,,
macaw (Ara macao),Araraçanga 1,,,,,,yàk,jǎ:k ,yák,jǎ:k 
macaw (Ara macao),Araraçanga 2,k ʼ aʔɾo:ʔ,k ʼ aɾu:h,,kǎl’,k ʼ a lʔ,,,,
yellow,Amarelo,ʃawʌ̰:k,ʔawa̰:kŋ,,mɨ̃̂,,,,,
white,Branco 1,hawak ,hawakŋ,hawak,,,,,,
drown,Alagar; inundar,   k ʼ ɨ̰:p k ʼ ɨ̰:b,k ʼ ɨ̰:b,,kɨ̂bm,k ʼ ɨ̃̂:m,k’ɨ́m,k ʼ ɨ̃̂:m,NC yɨ̃wʔ,
smooth,Alisar,hawә:k,hawʌg,,,,NC wádn wɨ́m,hәk,NC yãh wɨ̃m,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
go out,Apagar,du:k dug,du:g,,dɔ̌k,dɔ̌:k,ndʼᴐ́k,dʼɔ̰̌:k,ndᴐᴐk,dʼɔ̰k
warm up,Aquecer,,,,hɛ̃d jǔʔ,k ʼ ɨ̰ʔ,NF,k ʼ ɨ̰̂ʔ,kɨʔ,k ʼ ɨ̰ʔ
pull; drag,Arrastar,takɨg takɨg,takɨg,,xə̌k,xә̌:k,NC ndóy,,kәk hɨ̃k,kәgŋ
drink,Beber,ʔә:k ʔә:gŋ,ʔɨgŋ,e?:k,ʔəg,ʔәg,әgŋ,ʔәgŋ,әg,ʔәgŋ
yawn,Bocejar 2,,,,nɔ̃h kâ,nɔ̃hk ʼ ǎ̰:ʔ,nᴐhʼká,nɔ̃hk ʼ ǎ̰:ʔ,nᴐh ka,nɔ̃hk ʼ a̰h
fetch water,Buscar agua,k ʼ ɔp k ʼ ɔb,k ʼ ɔp k ʼ ɔb,,kɔp,k ʼ ɔp,kʼᴐ́p,k ʼ ɔ̰p,ka ʼkᴐᴐp,k ʼ ɔ̰p
cut weeds,Capinar,ʃok  ʃog,ʃog,,ʃɛ̃ʃ,,sɛ̃́ç,,sәk,cәk
fill up,Cheirar,hɨ̃:k hʌ̃g,hã:kŋ,macehɨ̃ɨ̃k,ʔɨ̃̌k,ʔɨ̃̌:k ,NF,,NF,
itch,Coçar 1,c ʼ u:k c ʼ ug,c ʼ u:g,acu:k,cǔk,c ʼ ǔ:k,ko kój,c ʼ uk,suuk,c ʼ uk
cut (hack),Cortar 1,,,,tɛʃ hack,tě:ʃ,,,,tәjʰ
cut (saw),Cortar 2,k ʼ ahɔ̃k k ʼ ahɔ̃g ʔahɔ̃kk ʼ akɨd,hɔ̃:kŋ hɔ̃g,gehõk,hɔ̃k saw,hɔ̃̌:k,hᴐ̃́k,hɔ̃̌:k,hᴐ̃k,hɔ̃k
grow,Crescer 1,,,,peg ʃǎk,,sap,cap,sap,cap
poke,Cutucar,tatuk tatug,tug,,,,,,,
peel,Descascar 1,k ʼ ɔ̃p  k ʼ ɔ̃b ,,,kob inga abiu take out of pod/hull,k ʼ ob,,k ʼ obm,,
peel,Descascar 2,ʃo:ʃ ʃo̰:j,ʃɔ̰:j,,xɛp descascaɾ mbandioca dɛʃ bɾeak shell – ucuqui coco cupuaçu,,,,,
choke,Engasgar,ga̰:k,ga:g,,kã̌k,kã̌k,kãk,kʔãk,kãak,kʔãk
crawl,Engatinhar,kʼ a̰:k k ʼ ag,k ʼ a:g,,ndôy,k ʼ ã̌:k,,k ʼ ã̰k,,k ʼ ãk
scour,Esfregar 1,wu:k wug,,,wug,wug,,hĩ:kɨ̃k,hɨ̃k,hɨ̃k
scour,Esfregar 2,c ʼ u:k  c ʼ ug ,c ʼ u:g ,acu:k,cǔk coçaɾ,c ʼ ǔ:k ,,,suuk,c ʼ uk
squeeze manioc 2,Espremer mandioca,k ʼ awo:ʔ k ʼ awo̰:ʔ,,,w’ǒʔ,w̰ǒ:ʔ,koʼwowʔ,k ʼ ow̰oʔ,,
shoot with arrow,Flechar,,,,kĩɲ,k ʼ ḭ̃ɲ,kʼí,k ʼ igŋ,,k ʼ igŋ
fill,Inchar,puh pu:h,pu:h,dapu:h,ʔĩ̌k pux pot boil oveɾ,,puhú,puhû:,puhu,puh
sharpen?,Lavrar,ʃәk ʃәg,ʃәg,asәk,ʃək,ʃәk,sʼɨgŋ,cәgn,sәk,cәk 
hang; suspend,Pendurar 1,dʌk dʌg,dʌg,,dak stick against,dak,,dʼak,,
hang; suspend,Pendurar 2,,,,kaʔ hang,k ʼ aʔ,,k ʼ ãʔ,,k ʼ ãʔ
pound with pestle,Pilar,to:k tog,tog,ji eto:k do:,tǒk,tok,tók,tok,tok,tok
jump,Pular,c ʼ әk,c ʼ әg,,cək cf. cə̌k ‘ɾoubaɾ’,c ʼ әk,,c ʼ ә̰k,sәәk,c ʼ ә̰k
pull,Puxar,hә:k hәg,kɨg,,xə̌k,xәk,kәk,kәk,kәk,kәk
want,Querer,,,,tuk,tuk ,tút,tuk ,tuk,tuk 
split,Rachar,,,,bǎk,,,pobm,pobm,pobm
scratch,Rasgar 1,ʃɛ̃:t ʃɛ̰̃:d,ʃɛ̰̃:d,kasẽ:t,xǎk,,,,,
snore,Roncar,hṵ̃:k hṵ̃:g,hɔ̃:g,,xɔ̃̌k,xɔ̃̌:k,,hũ̌:k,tũhuk,hũk
steal,Roubar,c ʼ ә̰:k c ʼ ә:g,c ʼ ә̰:kŋ,ecʼә:k,cə̌k,c ʼ ә̌:k,,c ʼ ḛk,sʼek,c ʼ ḛj
miss (someone; something),Saudade,k ʼ ʌ:bm,k ʼ a:bm,,,,,,,
hold,Segurar,tɔdn,,,haj’ idn hand tɔdn odn back,tɔdn,,,,­
hiccup,Soluçar,,,,,,sәbәk,ʃәbʼә̰k,mbәәk,bʼә̰k
urinate,Urinar 2,k ʼ ʌ:ʃ,k ʼ ʌ:ʃ,,,,,,,
